primary_genre,all_genres,artist_followers,artist_popularity,track_id,name,artist_names,popularity,album,release_date,mood_label
bollywood,bollywood; hindi pop; bollywood; desi; hindi pop; bollywood; hindi pop; desi; kannada pop; marathi pop; bollywood; hindi pop; desi,33208103,86,0mboVyI4R4MPH23yceAMz3,Hangover,"['Salman Khan', 'Meet Bros Anjjan', 'Shreya Ghoshal', 'Kumaar']",64,Kick,2014-07-07,romantic
indian indie,indian indie; hindi indie,2535,28,0o9X1w5Jg4afTZOYPElh4O,Raina,"['Vasundhra Raj', 'Karan Verma']",42,Raina,2025-08-28,old_melody
indian indie,indian indie; hindi indie; indian indie,4413,50,0pG8IAwN77WzC2tVTKxRrV,KHASMA NU KHANIYE,"['Raghav & Arjun', 'Amira Gill']",43,KHASMA NU KHANIYE,2025-09-12,old_melody
bollywood,bollywood; hindi hip hop; desi; hindi pop; punjabi pop,37002271,78,0pIRuPCgNPJJPyfzbE7NwH,"Party All Night (From ""Boss"")",['Yo Yo Honey Singh'],0,Yo Yo - Party Anthems,2014-03-28,romantic
,,8220,28,0ptmjtm7qOmGAz1ELQR5Rv,Tadke Tadke,['AFTERAll'],40,Tadke Tadke,2025-08-07,old_melody
bollywood,bollywood; hindi pop; desi; hindi pop; bollywood; desi; bangla pop,166037253,91,0qQ4IdhjzNr0gJhdMTf2n3,"O Maahi (From ""Dunki"")","['Pritam', 'Arijit Singh', 'Irshad Kamil']",72,"O Maahi (From ""Dunki"")",2023-12-11,old_melody
bhangra,bhangra; punjabi pop; desi; bollywood; hindi pop; desi pop; bollywood; hindi pop; desi pop; desi,22159235,74,0qeGjhiTk5xg4OcRUejXPs,Ishare Tere,"['Guru Randhawa', 'Dhvani Bhanushali']",57,Ishare Tere,2018-07-25,romantic
qawwali,qawwali; sufi; ghazal; desi pop; qawwali; ghazal; sufi,230171,58,0qheD9ZwdmVKu5ktHXFbb0,Andaaz e Karam,"['Madhur Sharma', 'Moin', 'ER']",71,Andaaz e Karam,2025-10-17,old_melody
indian indie,indian indie,923,35,0qu4gftBCQTEHbsBJIlr0r,Jaa Simran Jaa,"['Abhishek Dubey', 'SubhoBeatz']",30,Jaa Simran Jaa,2024-02-09,party
bollywood,bollywood; desi; hindi pop; desi hip hop; hindi hip hop; desi pop; bollywood; hindi pop; punjabi pop; desi; desi pop,30826001,75,0rUN8ascPVT9iiLzC5ocPw,Abhi Toh Party Shuru Hui Hai,"['Badshah', 'Aastha Gill']",58,Khoobsurat,2014-08-12,romantic
bollywood,bollywood; hindi pop; desi; hindi pop; bollywood; desi; bangla pop; bollywood; hindi pop; desi; kannada pop; marathi pop,166037253,91,0rk2X5TAhraBC5aCIXK2Rq,Samjhawan,"['Jawad Ahmad', 'Shaarib Toshi', 'Arijit Singh', 'Shreya Ghoshal']",73,Samjhawan,2014-06-19,chill
indian indie,indian indie; hindi indie; hindi pop,244973,55,0snQrp1VaY5Pj1YIHRJpRJ,Chaand Baaliyan,['Aditya A'],68,Chaand Baaliyan,2020-03-28,old_melody
hindi pop,hindi pop; bollywood; desi; bangla pop; bollywood; hindi pop; desi; bollywood; hindi pop,166037253,91,0tpwqQhdfJXRcUDSNRjb9O,"Mere Yaaraa (From ""Sooryavanshi"")","['Arijit Singh', 'Neeti Mohan', 'Rashmi Virag']",65,"Mere Yaaraa (From ""Sooryavanshi"")",2021-10-27,old_melody
bollywood,bollywood; desi,1771705,62,0wEgK7RKkB1R6sR5Nrwh5g,Fevicol Se,"['Mamta Sharma', 'Wajid']",68,Dabangg 2,2012-11-17,romantic
ghazal,ghazal; bollywood; bhajan; hindi pop; marathi pop; bhajan; marathi pop; devotional; ghazal; ghazal; bhajan,24630694,78,0y8GqdhKlBhiG7rAdQ7Jg7,Megha Re Megha Re,"['Lata Mangeshkar', 'Suresh Wadkar', 'Laxmikant–Pyarelal']",37,Pyaasa Sawan,1981-08-28,sad
bhajan,bhajan; devotional,11840,40,0yIQcuJg1pUQ0Gr6MIU6ra,"BamBholle - From ""Laxmii""",['Viruss'],50,"BamBholle (From ""Laxmii"")",2020-11-03,romantic
tollywood,tollywood; bollywood; desi; telugu pop; hindi pop; bollywood; hindi pop; desi pop; desi; bollywood; tamil pop; kollywood; hindi pop; desi; tamil dance; gujarati garba; gujarati pop; hindi pop; bollywood; desi; ,6053557,72,0z8wIFS6LUp2iz6kajcID7,"Current Laga Re (From ""Cirkus"")","['Nakash Aziz', 'Dhvani Bhanushali', 'Jonita Gandhi', 'Lijo George-Dj Chetas', 'Vivek Hariharan']",51,"Current Laga Re (From ""Cirkus"")",2022-12-08,party
,,51761,32,0zlG5gEgy5o99zv5FyVNDu,Ye Meera Divanapan Hai,['Susheela Raman'],43,Love Trap,2003-01-01,romantic
bhangra,bhangra; punjabi pop; desi; bollywood; bhangra; punjabi pop; desi,5103061,69,11IAzj9706fIKBVCJyMNNt,"Illegal Weapon 2.0 (From ""Street Dancer 3D"")","['Jasmine Sandlas', 'Garry Sandhu']",48,Hits Of Tanishk Bagchi,2020-03-17,party
bollywood,bollywood; hindi pop; desi; hindi pop; bollywood; desi; bangla pop; bollywood,166037253,91,11qnwt18ZckPqchzK2I3U7,Dil Jhoom,"['Mithoon', 'Arijit Singh', 'Sayeed Quadri']",69,Gadar 2 (Original Motion Picture Soundtrack),2023-08-05,old_melody
bollywood,bollywood; hindi pop; desi; hindi pop; bollywood; desi; bangla pop; gujarati garba; bollywood; hindi pop; desi; lo-fi,166037253,91,13CBIr5x7x5ucDVhbIGdtk,"Soch Na Sake (From ""Love In Lo-Fi Volume 1"")","['Amaal Mallik', 'Arijit Singh', 'Tulsi Kumar', 'Dj Chetas', 'DJ Nyk']",51,"Soch Na Sake (From ""Love In Lo-Fi Volume 1"")",2022-02-24,chill
ghazal,ghazal; bangla pop; hindi pop; bollywood; ,20631936,78,13IZEeAwyqx6FNEsZ6EFd3,Bachna Ae Hasinon Lo Main Aa Gaya - Party Mix,"['Kishore Kumar', 'Pratik Gadre']",38,New Year Party Vibe,2022-12-28,party
ghazal,ghazal; hindi pop; ghazal; hindi pop; bollywood,10812910,74,13uRpHN3vdbt3B6xUyQEXu,Chand Mera Dil Chandni Ho Tum,"['Mohammed Rafi', 'R. D. Burman']",47,Hum Kisise Kum Naheen,1977-08-25,sad
bhajan,bhajan; devotional; bollywood; ghazal; marathi pop; bangla pop; bollywood; hindi pop; ; ghazal; hindi pop; bollywood,10454034,74,160gi5xsirirRzlSdeorlO,Do Lafzon Ki Hai Dil Ki Kahani,"['Amitabh Bachchan', 'Asha Bhosle', 'Sharad Kumar', 'R. D. Burman']",47,The Great Gambler,1979-03-15,sad
punjabi pop,punjabi pop; punjabi hip hop; bhangra; desi hip hop; desi,23120049,82,16kiQQ4BoLHDyj5W2fkfNK,"Tauba Tauba (From ""Bad Newz"")",['Karan Aujla'],68,"Tauba Tauba (From ""Bad Newz"")",2024-07-02,party
bollywood,bollywood; hindi pop; desi,61320500,89,18YHbIhrleUkKKj2DvEp79,Zara Sa,"['Pritam', 'KK']",78,Jannat (Original Motion Picture Soundtrack),2008-03-07,old_melody
bollywood,bollywood; hindi pop; desi; bollywood; desi; hindi pop,61320500,89,18e3XXYCv4Tx8uUl1mP3CN,Balam Pichkari,"['Pritam', 'Vishal Dadlani', 'Shalmali Kholgade']",67,Yeh Jawaani Hai Deewani,2013-03-30,romantic
bhojpuri pop,bhojpuri pop; bhojiwood,2881,31,19GaGT3bEMmB9TM9f4VFn2,Baja Baji Ki Na,['Shubha Mishra'],42,Baja Baji Ki Na,2015-12-24,romantic
ghazal,ghazal; bangla pop; hindi pop; bollywood; ghazal,20631936,78,1AlatlIkROgLvG6pgBBnAz,Roop Tera Mastana,"['Kishore Kumar', 'S. D. Burman']",46,Aradhana,1969-09-27,sad
hindi pop,hindi pop; desi pop; bollywood; punjabi pop; bhangra; desi; hindi pop; desi pop; bollywood; bhajan; devotional; punjabi pop; hindi pop; bollywood; desi,13648871,73,1CM4rFDU9q4EoLy2K44qE6,"Naah Goriye (From ""Bala"")","['B Praak', 'Harrdy Sandhu', 'Swasti Mehul', 'Jaani']",62,"Naah Goriye (From ""Bala"")",2019-10-25,party
indian indie,indian indie; ,923,35,1CR9dneVeXYGijilWEP74b,Le Chal Waha,"['Abhishek Dubey', 'SubhoBeatz', 'Desiree Sangma']",31,Le Chal Waha,2024-11-15,party
ghazal,ghazal; bollywood; bhajan; hindi pop; marathi pop; bhajan; marathi pop; devotional; ghazal; ghazal; bhajan,24630694,78,1CXgrGqpU1vuGSjNmV10vI,Bhanware Ne Khilaya Phool,"['Lata Mangeshkar', 'Suresh Wadkar', 'Laxmikant–Pyarelal']",42,Prem Rog,1982-07-31,sad
bollywood,bollywood; hindi pop; desi; desi pop; gujarati garba; hindi pop; ; bollywood; hindi pop; desi,5871651,80,1D35BJlymlh6OLD75WupSF,"Saiyaara (From ""Saiyaara"")","['Tanishk Bagchi', 'Faheem Abdullah', 'Arslan Nizami', 'Irshad Kamil']",85,"Saiyaara (From ""Saiyaara"")",2025-06-03,old_melody
bollywood,bollywood; desi; hindi pop; indian indie; hindi indie,17645541,76,1EZzUDV9IdzLVgmz7v86nx,AANKH,"['Sunidhi Chauhan', 'Rusha & Blizza']",64,AANKH,2024-12-05,romantic
bhangra,bhangra; punjabi pop; punjabi hip hop; desi; bollywood; bollywood; hindi pop; desi; bollywood; ,36911496,83,1ErMeReQpwGuroEk5zekr3,"Choli Ke Peeche (From ""Crew"")","['Diljit Dosanjh', 'Alka Yagnik', 'Ila Arun', 'IP Singh', 'Akshay & IP']",62,"Choli Ke Peeche (From ""Crew"")",2024-03-20,party
malayalam pop,malayalam pop; mollywood; malayalam hip hop,103133,52,1G3XirmJ0RtchEDr85da3R,Ollulleru,"['Justin Varghese', 'Praseetha Chalakudy']",0,Ajagajantharam,2021-10-16,party
bollywood,bollywood; hindi pop; desi; hindi pop; bollywood; desi; bangla pop,166037253,91,1GFQthxDi4Tqe3wJ5j0G5S,"Dhun (From ""Saiyaara"")","['Mithoon', 'Arijit Singh']",79,"Dhun (From ""Saiyaara"")",2025-07-01,old_melody
ghazal,ghazal; bollywood; bhajan; hindi pop; marathi pop; telugu pop; kannada pop; tamil pop; devotional; tollywood; sandalwood; kollywood,24630694,81,1IATWVSQH0vQLjUYI6S5LH,Tere Mere Beech Mein - Duet,"['Lata Mangeshkar', 'S. P. Balasubrahmanyam']",38,Ek Duuje Ke Liye,1981-05-06,sad
hindi pop,hindi pop; bollywood; desi; bangla pop; bollywood; desi; hindi pop,166037253,91,1J9vyEntJ79CppvgUxJs75,Zaalima,"['Arijit Singh', 'Harshdeep Kaur']",73,Raees (Original Motion Picture Soundtrack),2017-01-24,old_melody
,,3507,3,1JCBOZN7Ywc3K3YWtyEFks,Le Photo Le,['Nilu Rangili'],0,Le Photo Le,2019-04-17,romantic
ghazal,ghazal; bangla pop; hindi pop; bollywood; ghazal,20631936,78,1MUol1Uw9JKRL7mV17iBwT,Mera Jeevan Kora Kagaz,"['Kishore Kumar', 'Kalyanji-Anandji']",58,Kora Kagaz,1974-04-05,sad
bollywood,bollywood; hindi pop; desi; bollywood; desi; hindi pop,61320500,89,1OBOW5jFnqpieVQFsxu2P9,Dhoom Machale Dhoom,"['Pritam', 'Aditi Singh Sharma', 'Sameer Anjaan']",50,Dhoom:3,2013-11-14,romantic
hindi indie,hindi indie; indian indie; desi pop; hindi pop; bollywood; hindi pop; desi; gujarati garba; gujarati pop; hindi pop; bollywood; desi,13560355,78,1PALLCSlHwAI4upY3sMg8u,"Jaana Samjho Na (From ""Bhool Bhulaiyaa 3"")","['Aditya Rikhari', 'Tulsi Kumar', 'Lijo George-Dj Chetas']",74,"Jaana Samjho Na (From ""Bhool Bhulaiyaa 3"")",2024-10-22,old_melody
bhajan,bhajan; ,114,28,1PChN2rAT2Lic9jyCkX5kh,Mohabbat,"['Mihiir Sharrma', 'Jayveer Singh Panghaal']",45,Mohabbat,2025-11-07,old_melody
bollywood,bollywood; hindi pop; desi; bollywood; hindi pop; gujarati garba,15090907,73,1PDREqVNvmphIoNac3Vz8c,Sanam Teri Kasam,"['Himesh Reshammiya', 'Ankit Tiwari', 'Palak Muchhal']",62,Sanam Teri Kasam (Original Motion Picture Soundtrack),2016-01-06,old_melody
gujarati pop,gujarati pop; bollywood; hindi pop; desi; gujarati garba; bhangra; bollywood; hindi pop; desi,7876302,82,1PDnTLpadsuLNSs6LCQtQh,"Chandigarh Kare Aashiqui Title Track (From ""Chandigarh Kare Aashiqui"")","['Sachin-Jigar', 'Jassi Sidhu', 'IP Singh']",38,"Chandigarh Kare Aashiqui Title Track (From ""Chandigarh Kare Aashiqui"")",2021-11-13,party
bollywood,bollywood; hindi hip hop; desi; hindi pop; punjabi pop,37002271,78,1QZRCi2Z1DQQaR6bGAzhtN,Love Dose,['Yo Yo Honey Singh'],73,Desi Kalakaar,2014-09-26,romantic
bollywood,bollywood; desi; hindi pop; bollywood; hindi pop; desi,61320500,89,1R7ChEm1x3mGhDWXKnPSXn,"Daaru Desi (From ""Cocktail"")","['Benny Dayal', 'Shalmali Kholgade', 'Pritam']",0,Cocktail,2012-06-12,romantic
bollywood,bollywood; hindi pop; desi; hindi pop; bollywood; desi; bangla pop,166037253,91,1UWacd8x8tPPwmrPB1MoBI,Ae Dil Hai Mushkil Title Track,"['Pritam', 'Arijit Singh']",74,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],2016-10-26,chill
bollywood,bollywood; desi; bhangra; bollywood; desi; bollywood; hindi pop; desi; desi pop; gujarati garba,49018784,74,1VY2incfH4TLT9PCbot6lj,"London Thumakda (From ""Queen"")","['Labh Janjua', 'Sonu Kakkar', 'Neha Kakkar']",58,Best Of Neha Kakkar,2017-06-05,party
bollywood,bollywood; hindi pop; desi; desi pop; gujarati garba; bhangra; punjabi pop; desi pop; bollywood; hindi pop; hindi pop; bollywood; sufi; desi; bhangra; desi; sufi; qawwali,5871651,80,1XSSm7oKOzNE8oUapjIRWV,"The Punjaabban Song (From ""Jugjugg Jeeyo"")","['Tanishk Bagchi', 'Gippy Grewal', 'Zahrah S Khan', 'Romy', 'Abrar Ul Haq']",49,"The Punjaabban Song (From ""Jugjugg Jeeyo"")",2022-05-28,party
ghazal,ghazal; bangla pop; hindi pop; bollywood,20631936,78,1XiglL7TPZljvmn3HWmB23,"Chhu Kar Mere Manko - From ""Yaarana""",['Kishore Kumar'],66,Audiobiography - Kishore Kumar,2012-01-01,sad
hindi pop,hindi pop; bollywood; desi; bangla pop; bollywood; hindi pop; desi,166037253,91,1YMLgvsQdE27r30q0fsLeV,Tera Fitoor,"['Arijit Singh', 'Himesh Reshammiya', 'Kumaar']",75,Genius (Original Motion Picture Soundtrack),2018-08-24,old_melody
bollywood,bollywood; desi; hindi pop; bollywood; desi; punjabi hip hop; bhangra; desi hip hop; desi; bollywood; bollywood; hindi pop; desi,16471568,80,1YTU6H9mLYZZMP78x5V7KC,Lovely,"['Vishal-Shekhar', 'Kanika Kapoor', 'Ravindra Upadhyay', 'Miraya Varma', 'Fateh', 'Zeus', 'Kumaar', 'Jiwan Mann']",58,Happy New Year,2014-09-26,romantic
ghazal,ghazal; tamil dance; ghazal,4095408,66,1YXe3Y3EF0Vjx8PuheWjxi,Jo Tumko Hopasand Wohi Baat Karenge,"['Mukesh', 'Kalyanji-Anandji']",41,Safar,1970-01-01,sad
